DSAC
Консоль:
Ep 2010 | Reward:    -0.2 | Avg100:   112.0 | Best:   253.3 | Steps: 190 | Loss: -0.2698
Ep 2020 | Reward:   132.0 | Avg100:   111.6 | Best:   253.3 | Steps: 1000 | Loss: 0.1705
Ep 2030 | Reward:   174.2 | Avg100:   114.4 | Best:   253.3 | Steps: 1000 | Loss: -0.0936
Ep 2040 | Reward:   150.1 | Avg100:   118.4 | Best:   253.3 | Steps: 1000 | Loss: 0.0901
Ep 2050 | Reward:    75.0 | Avg100:   115.9 | Best:   253.3 | Steps: 128 | Loss: 0.5321
Ep 2060 | Reward:   134.4 | Avg100:   113.7 | Best:   253.3 | Steps: 1000 | Loss: 0.1214
Ep 2070 | Reward:   114.4 | Avg100:   113.9 | Best:   253.3 | Steps: 1000 | Loss: 0.0090
Ep 2080 | Reward:   158.3 | Avg100:   111.2 | Best:   253.3 | Steps: 1000 | Loss: 0.0899
Ep 2090 | Reward:   130.4 | Avg100:   111.5 | Best:   253.3 | Steps: 1000 | Loss: -0.0458
Ep 2100 | Reward:   130.2 | Avg100:   107.5 | Best:   253.3 | Steps: 1000 | Loss: 0.0276
Ep 2110 | Reward:   134.8 | Avg100:   110.2 | Best:   253.3 | Steps: 1000 | Loss: 0.0250
Ep 2120 | Reward:   128.6 | Avg100:   109.6 | Best:   253.3 | Steps: 1000 | Loss: -0.0563
Ep 2130 | Reward:   106.7 | Avg100:   109.7 | Best:   253.3 | Steps: 1000 | Loss: -0.0036
Ep 2140 | Reward:   133.8 | Avg100:   109.7 | Best:   253.3 | Steps: 1000 | Loss: 0.0660
Ep 2150 | Reward:    21.5 | Avg100:   109.2 | Best:   253.3 | Steps: 160 | Loss: -0.0680
Ep 2160 | Reward:   184.9 | Avg100:   113.6 | Best:   253.3 | Steps: 1000 | Loss: 0.0127
Ep 2170 | Reward:   154.5 | Avg100:   112.5 | Best:   253.3 | Steps: 1000 | Loss: 0.0182
Ep 2180 | Reward:   153.6 | Avg100:   114.3 | Best:   253.3 | Steps: 1000 | Loss: 0.0961
Ep 2190 | Reward:   125.8 | Avg100:   113.1 | Best:   253.3 | Steps: 1000 | Loss: 0.1396
Ep 2200 | Reward:  -136.8 | Avg100:   111.3 | Best:   253.3 | Steps: 589 | Loss: -0.1507
Ep 2210 | Reward:   155.2 | Avg100:   110.7 | Best:   253.3 | Steps: 1000 | Loss: -0.0060
Ep 2220 | Reward:   178.3 | Avg100:   113.7 | Best:   253.3 | Steps: 1000 | Loss: 0.0561
Ep 2230 | Reward:   157.0 | Avg100:   110.8 | Best:   253.3 | Steps: 1000 | Loss: 0.1844
Ep 2240 | Reward:    20.9 | Avg100:   110.7 | Best:   253.3 | Steps: 123 | Loss: 0.3667
Ep 2250 | Reward:    31.0 | Avg100:   104.2 | Best:   253.3 | Steps: 123 | Loss: -0.1109
Ep 2260 | Reward:  -146.4 | Avg100:    96.0 | Best:   253.3 | Steps: 105 | Loss: 0.6401
Ep 2270 | Reward:   127.8 | Avg100:    92.3 | Best:   253.3 | Steps: 1000 | Loss: 0.4001
Ep 2280 | Reward:   -11.6 | Avg100:    87.9 | Best:   253.3 | Steps: 115 | Loss: -0.1087
Ep 2290 | Reward:    -9.1 | Avg100:    80.9 | Best:   253.3 | Steps: 125 | Loss: -0.2422
Ep 2300 | Reward:   136.1 | Avg100:    82.6 | Best:   253.3 | Steps: 1000 | Loss: 0.4581
Ep 2310 | Reward:     7.2 | Avg100:    73.6 | Best:   253.3 | Steps: 121 | Loss: -0.3321
Ep 2320 | Reward:    42.0 | Avg100:    67.3 | Best:   253.3 | Steps: 123 | Loss: -0.4466
Ep 2330 | Reward:   -49.8 | Avg100:    63.5 | Best:   253.3 | Steps:  80 | Loss: -0.2272
Ep 2340 | Reward:   134.3 | Avg100:    58.9 | Best:   253.3 | Steps: 1000 | Loss: 0.3952
Ep 2350 | Reward:   -50.7 | Avg100:    63.4 | Best:   253.3 | Steps:  88 | Loss: -0.0284
Ep 2360 | Reward:    -9.5 | Avg100:    62.0 | Best:   253.3 | Steps: 123 | Loss: -0.2364
Ep 2370 | Reward:   112.1 | Avg100:    60.3 | Best:   253.3 | Steps: 1000 | Loss: 0.5204
Ep 2380 | Reward:   105.9 | Avg100:    61.5 | Best:   253.3 | Steps: 1000 | Loss: 0.1769
Ep 2390 | Reward:    42.5 | Avg100:    65.6 | Best:   253.3 | Steps:  83 | Loss: 0.0017
Ep 2400 | Reward:   110.2 | Avg100:    63.6 | Best:   253.3 | Steps: 1000 | Loss: 0.1257
Ep 2410 | Reward:   124.4 | Avg100:    66.1 | Best:   253.3 | Steps: 1000 | Loss: 0.1435
Ep 2420 | Reward:   143.1 | Avg100:    68.2 | Best:   253.3 | Steps: 1000 | Loss: 0.1954
Ep 2430 | Reward:    -4.2 | Avg100:    71.5 | Best:   253.3 | Steps: 146 | Loss: -0.1039
Ep 2440 | Reward:   126.4 | Avg100:    74.1 | Best:   253.3 | Steps: 1000 | Loss: -0.0041
